,bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Note,category,agent1_labels,agent2_labels,agent3_labels,majority_vote,union_vote,message,is_follow_up,time_since_last_message,days_since_last_message,hours_since_last_message,is_first_message,contains_regex,predicted
3662,61669841,,2017-10-17 18:53:29.189356,Pro,[PERSON_NAME]. Just checking in. Did you find the right trainer for you?,,Personal Training,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Hi Mariah. Just checking in. Did you find the right trainer for you?,1,110 days 18:40:41.774224000,110.0,2658.68,False,1,1
6292,59094171,,2017-06-26 01:30:20.620602,Pro,"Hi [PERSON_NAME] 
I was wondering when I could meet with you to get payment for mowing and leaf clean up thank you [PERSON_NAME] ","So this looks like a hire, but in context, the pro made a mistake of sending the message to the wrong customer.",Lawn Mowing and Trimming,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value', 'Job Details'}","{'Follow-up', 'null_value'}",{'Follow-up'},"{'Job Details', 'Follow-up'}","Hi Seth 
I was wondering when I could meet with you to get payment for mowing and leaf clean up thank you Derek ",1,34 days 05:53:17.980076000,34.0,821.89,False,1,0
5051,40733372,,2017-08-21 22:02:07.217281,Customer,"What is the price per class and how many minutes? Also, where is the class at?",,Piano Lessons (for children or teenagers),"{'Location', 'Price', 'null_value', 'Job Details'}","{'Location', 'Price', 'null_value', 'Job Details'}","{'Location', 'Price', 'null_value', 'Job Details'}","{'Location', 'Job Details', 'Price'}","{'Location', 'Job Details', 'Price'}","What is the price per class and how many minutes? Also, where is the class at?",0,90 days 00:10:10.160081000,90.0,2160.17,False,1,0
3161,61160036,,2017-07-26 04:34:15.902846,Pro,Cleaning up files...you still interested in a trainer?,,Personal Training,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Cleaning up files...you still interested in a trainer?,1,28 days 06:43:46.049485000,28.0,678.73,False,1,0
3183,61205052,,2018-04-10 13:57:17.975222,Customer,"Hey there. Last year we had a pretty bad ant problem, and have already seen some this year. 

How do you guys treat that and what are the rates?",,Pest Control Services,"{'Follow-up', 'null_value', 'Price', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'Job Details', 'Price'}","{'Job Details', 'Follow-up', 'Price'}","Hey there. Last year we had a pretty bad ant problem, and have already seen some this year. 

How do you guys treat that and what are the rates?",0,250 days 14:07:49.221796000,250.0,6014.13,False,1,0
2635,60522960,,2017-07-16 02:37:54.385538,Pro,Hi [PERSON_NAME] - would you mind taking a moment to review me on Thumbtack? You can leave a review by following this link: https://www.thumbtack.com/reviews/bids/974bvk9c/write?from_messenger=1,,Private Self Defense Lessons,{'null_value'},{'null_value'},{'null_value'},set(),set(),Hi Kim - would you mind taking a moment to review me on Thumbtack? You can leave a review by following this link: https://www.thumbtack.com/reviews/bids/974bvk9c/write?from_messenger=1,0,24 days 11:01:09.080725000,24.0,587.02,False,1,0
9206,62793700,,2017-12-16 14:24:24.367788,Customer,hey there,,Massage Therapy,{'null_value'},{'null_value'},{'null_value'},set(),set(),hey there,0,34 days 23:27:39.130457000,34.0,839.46,False,1,0
8282,61546882,,2017-07-25 04:06:06.313191,Pro,"Hi [PERSON_NAME] wanted to check in. Hope the planning is going well!

[PERSON_NAME]",,Music Entertainment,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},"Hi Courtney - 

Just wanted to check in. Hope the planning is going well!

Scott",1,27 days 02:32:28.975483000,27.0,650.54,False,1,1
13610,61471247,,2017-09-16 18:12:29.899793,Customer,Is there anyway we can meet next Saturday around 12-1 ?,,DJ,"{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},{'Scheduling - Meeting or Job'},Is there anyway we can meet next Saturday around 12-1 ?,0,52 days 05:04:25.127752000,52.0,1253.07,False,1,0
11731,59137954,,2017-07-11 20:01:31.505269,Pro,Just wanted to check in with you. And see if I am going to be able to be of any service to you.,,Portrait Photography,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Just wanted to check in with you. And see if I am going to be able to be of any service to you.,1,41 days 05:57:37.675156000,41.0,989.96,False,1,1
10646,58104674,,2017-06-04 13:28:14.427101,Pro,"[PERSON_NAME], I've emailed [PERSON_NAME] with a shopping list, please confirm that he has it, thank you !!",,Private Cooking Lessons,"{'null_value', 'Confirmation - Contact'}","{'null_value', 'Confirmation - Contact'}","{'Scheduling - Meeting or Job', 'null_value', 'Confirmation - Contact'}",{'Confirmation - Contact'},"{'Scheduling - Meeting or Job', 'Confirmation - Contact'}","Hello Elena, I've emailed Paul with a shopping list, please confirm that he has it, thank you !!",0,18 days 22:49:02.371751000,18.0,454.82,False,1,0
3963,62063222,,2017-07-21 15:32:36.435305,Pro,"I'm doing a 8 week bootcamp for free, are you interested",,Personal Training,"{'Price', 'null_value', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'Job Details', 'Price'}","{'Job Details', 'Price'}","I'm doing a 8 week bootcamp for free, are you interested",0,16 days 17:54:13.520853000,16.0,401.9,False,1,0
5035,63038489,,2017-08-24 15:52:02.332345,Pro,Hi,,Health and Wellness Coaching,"{'Follow-up', 'null_value'}",{'null_value'},"{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Hi,1,24 days 12:21:42.763442000,24.0,588.36,False,1,0
7360,60241270,,2017-08-09 20:08:45.987919,Pro,Hi dale-Checking in  on the estimate,,Outdoor Landscaping and Design,"{'Follow-up', 'null_value', 'Price'}","{'Price', 'null_value'}","{'Follow-up', 'null_value', 'Price'}","{'Follow-up', 'Price'}","{'Follow-up', 'Price'}",Hi dale-Checking in  on the estimate,1,18 days 17:45:43.507197000,18.0,449.76,False,1,0
12338,59996372,,2017-06-28 10:51:15.476306,Customer,Hi I am planning to move tomorrow,,Local Moving (under 50 miles),"{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},"{'Job Details', 'Scheduling - Meeting or Job'}",Hi I am planning to move tomorrow,0,23 days 20:57:26.552897000,23.0,572.96,False,1,0
6125,58775583,,2017-12-07 13:27:56.761789,Pro,"[PERSON_NAME], Do not miss out on our holiday special! Are you satisfied with your current cleaners? If you are not satisfied with your current service and or would like to compare services this is the time to do so! We are offering competitive rates and our limited time holiday special is hard to beat! Ask about our discounts! Compare pricing with our price match feature!* Save time and money now and let us help you this holiday season! Call, text or email today for a free quote and to ask any questions you may have. Also, add our in home laundry service! You can email us, text, or call at your earliest convenience. We would love for you to try us out today!
Thanks!
[PERSON_NAME]
Sweep Away
[PHONE_NUMBER]",,House Cleaning,"{'Job Details', 'Price', 'null_value', 'Follow-up', 'Contact Information'}","{'Job Details', 'Price', 'null_value', 'Follow-up', 'Contact Information'}","{'Job Details', 'Price', 'null_value', 'Follow-up', 'Contact Information'}","{'Job Details', 'Price', 'Follow-up', 'Contact Information'}","{'Job Details', 'Price', 'Follow-up', 'Contact Information'}","PAMELA, Do not miss out on our holiday special! Are you satisfied with your current cleaners? If you are not satisfied with your current service and or would like to compare services this is the time to do so! We are offering competitive rates and our limited time holiday special is hard to beat! Ask about our discounts! Compare pricing with our price match feature!* Save time and money now and let us help you this holiday season! Call, text or email today for a free quote and to ask any questions you may have. Also, add our in home laundry service! You can email us, text, or call at your earliest convenience. We would love for you to try us out today!
Thanks!
Josh Wilder
Sweep Away
919-418-2503",1,51 days 16:08:30.417165000,51.0,1240.14,False,1,0
5734,58394552,,2017-08-08 17:09:22.643443,Customer,"Just sending a message making sure you and videographer  are all set to come next Sat, August 19. Wedding starts at 3 we will be there at 1. Also i need you to take pictures of my sisters family, my 4 boys family, my 2 nephew family, along with my family etc. You can interview anybody everybody wanted to say sonething. Hope all is well see you next Saturday.",,Wedding Videography,"{'Follow-up', 'null_value', 'Hire', 'Job Details'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Job Details'}","{'Job Details', 'Scheduling - Meeting or Job', 'Follow-up'}","{'Job Details', 'Scheduling - Meeting or Job', 'Follow-up', 'Hire'}","Just sending a message making sure you and videographer  are all set to come next Sat, August 19. Wedding starts at 3 we will be there at 1. Also i need you to take pictures of my sisters family, my 4 boys family, my 2 nephew family, along with my family etc. You can interview anybody everybody wanted to say sonething. Hope all is well see you next Saturday.",1,76 days 22:03:05.203360000,76.0,1846.05,False,1,0
7937,61041541,,2017-10-26 00:01:55.953861,Customer,"[PERSON_NAME], we have evicted [PERSON_NAME] and 2334 is empty. Can you provide a bid for flooring, cabinets, new kitchen and baths? Possibly windows and doors? I will email the video if you send you email to me. 
Thank you.",,Roof Repair or Maintenance,"{'Location', 'Job Details', 'null_value', 'Price', 'Contact Information'}","{'null_value', 'Price', 'Contact Information', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'Job Details', 'Price', 'Contact Information'}","{'Location', 'Job Details', 'Price', 'Contact Information'}","Eric, we have evicted Celeste and 2334 is empty. Can you provide a bid for flooring, cabinets, new kitchen and baths? Possibly windows and doors? I will email the video if you send you email to me. 
Thank you.",0,77 days 22:48:40.372094000,77.0,1870.81,False,1,0
134,55138226,,2018-02-27 17:03:36.695679,Customer,"I know it has been a while since I was looking at getting a resume done. Are you still in the business? I would like to talk to you if so.
Thanks,
[PERSON_NAME]",,Resume Writing,"{'Scheduling - Meeting or Job', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value', 'Job Details'}",{'Follow-up'},"{'Job Details', 'Scheduling - Meeting or Job', 'Follow-up'}","I know it has been a while since I was looking at getting a resume done. Are you still in the business? I would like to talk to you if so.
Thanks,
Tony Miller",1,333 days 04:44:30.666409000,333.0,7996.74,False,1,0
9153,62671285,,2018-07-04 02:04:00.532035,Customer,Have an issue with exterior lights by pool. 2 switches for 2 lights on 1 box. Both switches (lights) don’t work,,Circuit Breaker Panel or Fuse Box Repair,"{'null_value', 'Job Details'}","{'null_value', 'Job Details'}","{'Follow-up', 'null_value', 'Job Details'}",{'Job Details'},"{'Job Details', 'Follow-up'}",Have an issue with exterior lights by pool. 2 switches for 2 lights on 1 box. Both switches (lights) don’t work,0,354 days 11:51:59.545305000,354.0,8507.87,False,1,0
14520,62661319,,2017-08-19 14:40:27.625236,Pro,"Hello Marvin,
Just following up and seeing if you were still interested in lessons. Feel free to contact me for more information on the matter.",,Piano Lessons,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value', 'Job Details'}","{'Follow-up', 'null_value'}",{'Follow-up'},"{'Job Details', 'Follow-up'}","Hello Marvin,
Just following up and seeing if you were still interested in lessons. Feel free to contact me for more information on the matter.",1,22 days 21:35:05.792805000,22.0,549.58,False,1,1
331,57767481,,2018-05-10 04:37:15.874250,Pro,"How’s everything going with yr wheaten ?  And everybody

[PERSON_NAME]",,Dog Training,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},"How’s everything going with yr wheaten ?  And everybody

Suzanne",1,175 days 01:50:22.484254000,175.0,4201.84,False,1,0
13055,60944761,,2018-04-16 23:43:17.556315,Customer,"Hi [PERSON_NAME], you worked on my deck last year. I wanted to know if you would be interested in a closet remodel and I can get a estimate cost?",,Deck or Porch Repair,"{'Price', 'null_value', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'null_value', 'Job Details'}","{'Job Details', 'Price'}","{'Job Details', 'Price'}","Hi Wilmer, you worked on my deck last year. I wanted to know if you would be interested in a closet remodel and I can get a estimate cost?",0,302 days 09:28:14.802832000,302.0,7257.47,False,1,0
2914,60844975,,2017-07-27 18:32:04.877279,Pro,Hi [PERSON_NAME]! I'm all moved into my new home in [LOCATION]. I would love to set up a consultation with you. I'm available Wednesday-Friday next week. Let me know!,,Nutritionist,"{'Scheduling - Meeting or Job', 'Location', 'null_value'}","{'Scheduling - Meeting or Job', 'Location', 'null_value'}","{'Scheduling - Meeting or Job', 'Location', 'null_value'}","{'Location', 'Scheduling - Meeting or Job'}","{'Location', 'Scheduling - Meeting or Job'}",Hi Barry! I'm all moved into my new home in Rochester. I would love to set up a consultation with you. I'm available Wednesday-Friday next week. Let me know!,0,41 days 03:27:39.572277000,41.0,987.46,False,1,0
7576,60598167,,2017-07-29 01:34:01.803962,Pro,Hey [PERSON_NAME].  I just wanted to check in and see if you could leave me a review for your father.  I would really appreciate it!,,Massage Therapy,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}",Hey Renee.  I just wanted to check in and see if you could leave me a review for your father.  I would really appreciate it!,0,39 days 00:53:21.095987000,39.0,936.89,False,1,0
12579,60297545,,2017-07-01 16:06:49.782179,Pro,"Hi [PERSON_NAME], I hope you're happy with my work. Would you mind writing me a quick review?",,DJ,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","Hi Brian, I hope you're happy with my work. Would you mind writing me a quick review?",0,19 days 19:07:37.587822000,19.0,475.13,False,1,0
12245,59824124,,2017-09-27 13:37:05.518960,Customer,sorry everything has been very busy but will Saturday work at around 11am?,,Wedding and Event Videography,"{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},{'Scheduling - Meeting or Job'},sorry everything has been very busy but will Saturday work at around 11am?,0,103 days 15:06:19.969555000,103.0,2487.11,False,1,0
14793,63100695,,2017-11-06 16:12:10.368809,Pro,Happy Monday [PERSON_NAME]! I thought I'd send another message to check one last time if you wanted to have us on. $600 for 2 shooters if you'd like to go for it. Please let me know before 3- But no worries either way! Have a Wonderful morning!  https://youtu.be/jxY4H0U2UQk,,Wedding and Event Videography,"{'Price', 'null_value', 'Job Details'}","{'Follow-up', 'null_value', 'Price'}","{'Follow-up', 'null_value', 'Price'}","{'Follow-up', 'Price'}","{'Job Details', 'Follow-up', 'Price'}",Happy Monday Ashley! I thought I'd send another message to check one last time if you wanted to have us on. $600 for 2 shooters if you'd like to go for it. Please let me know before 3- But no worries either way! Have a Wonderful morning!  https://youtu.be/jxY4H0U2UQk,1,45 days 00:51:26.243110000,45.0,1080.86,False,1,0
10724,58175451,,2017-06-15 13:15:57.674326,Customer,"[PERSON_NAME], as the date is approaching, I want to reconnect and confirm the dates are still available?",,Long Distance Moving,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up'}","{'Scheduling - Meeting or Job', 'Follow-up'}","HI John, as the date is approaching, I want to reconnect and confirm the dates are still available?",1,26 days 02:31:09.915506000,26.0,626.52,False,1,0
3175,61180590,,2017-09-15 19:09:07.245362,Pro,Are u still need in of sprinklers,,Sprinkler and Irrigation System Installation,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Are u still need in of sprinklers,1,83 days 05:27:22.843784000,83.0,1997.46,False,1,0
9673,63510958,,2018-06-04 17:11:57.737256,Pro,"Mr. [PERSON_NAME], 

Our office is open Monday-Friday from 8am to 5pm. 
Please feel free to call us anytime during our working hours. 

Thank you",,Roof Repair or Maintenance,{'null_value'},{'null_value'},"{'Scheduling - Meeting or Job', 'null_value'}",set(),{'Scheduling - Meeting or Job'},"Mr. James, 

Our office is open Monday-Friday from 8am to 5pm. 
Please feel free to call us anytime during our working hours. 

Thank you",0,313 days 06:43:14.111614000,313.0,7518.72,False,1,0
71,46086074,,2017-12-01 15:11:23.554228,Customer,baby......,,Personal Training,{'null_value'},{'null_value'},{'null_value'},set(),set(),baby......,0,145 days 17:01:29.558090000,145.0,3497.02,False,1,0
801,58326706,,2017-05-24 02:16:54.823640,Customer,"Hi [PERSON_NAME], thank you for your quote. I am wondering if you are still available to photograph our wedding on August 5th in [LOCATION], [LOCATION]. If so, what are the next steps that we need to take to book you. I look forward to your response.",,Wedding Photography,"{'Scheduling - Meeting or Job', 'Location', 'Price', 'null_value'}","{'Scheduling - Meeting or Job', 'Location', 'Price', 'null_value'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'null_value', 'Price'}","{'Location', 'Scheduling - Meeting or Job', 'Price'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'Price'}","Hi Jordyn, thank you for your quote. I am wondering if you are still available to photograph our wedding on August 5th in Aromas, CA. If so, what are the next steps that we need to take to book you. I look forward to your response.",0,14 days 07:11:13.171223000,14.0,343.19,False,1,0
6744,59530431,,2017-06-20 00:30:02.817334,Pro,Hi Caleb.How are you doing? Looking forward to seeing the website  when you finish.,Should be tagged as job details/confirmation/hire?  But the category is massage therapy,Massage Therapy,{'null_value'},{'null_value'},{'null_value'},set(),set(),Hi Caleb.How are you doing? Looking forward to seeing the website  when you finish.,0,20 days 22:23:57.955411000,20.0,502.4,False,1,0
1301,59056073,,2017-11-25 04:54:37.623932,Pro,"Hi, [PERSON_NAME]! Have you decided on a cake vendor yet?  Our calendar is filling up fast!  We have one spot open on your date, as of right now.",,Wedding Cakes,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up'}","{'Scheduling - Meeting or Job', 'Follow-up'}","Hi, James! Have you decided on a cake vendor yet?  Our calendar is filling up fast!  We have one spot open on your date, as of right now.",1,14 days 08:11:39.644248000,14.0,344.19,False,1,1
5173,57723640,,2018-03-11 00:09:38.093304,Customer,"Hello there, are you still in business in the [LOCATION] area?",,Gutter Cleaning and Maintenance,"{'Location', 'null_value'}","{'Location', 'null_value'}","{'Location', 'null_value'}",{'Location'},{'Location'},"Hello there, are you still in business in the Columbus area?",0,303 days 02:31:26.477340000,303.0,7274.52,False,1,0
9954,63766474,,2017-08-18 18:42:57.097381,Pro,Hi [PERSON_NAME] - would you mind taking a moment to review me on Thumbtack? You can leave a review by following this link: https://www.thumbtack.com/reviews/bids/sq3gq72c/write?from_messenger=1,,Personal Training,{'null_value'},"{'null_value', 'Confirmation - Meeting', 'Hire'}",{'null_value'},set(),"{'Confirmation - Meeting', 'Hire'}",Hi Michelle - would you mind taking a moment to review me on Thumbtack? You can leave a review by following this link: https://www.thumbtack.com/reviews/bids/sq3gq72c/write?from_messenger=1,0,17 days 16:52:17.099066000,17.0,424.87,False,1,0
